case_id,audit_id,generated_or_missing_structure,correctness,completeness,curation_action,rationale
P1,P1-Q01,A has duplicate/overlapping System -> send -> Email Confirmation edges.,yes,partial,edit_and_extend,Confirmation relation is supported but redundant/overlapping.
P1,P1-Q02,B captures System -> route -> Department Coordinator.,yes,partial,keep_and_extend,Routing is faithful but request object and before-confirmation context need extension.
P1,P1-Q03,B captures Department Coordinator -> grant -> Approval.,partial,partial,edit_and_extend,"Approval is relevant, but exact subject/predicate relation is inferred/underspecified."
P1,P1-Q04,B captures System -> check -> Approval.,partial,partial,edit_and_extend,Checking approval is an operationalization; approval-granted precondition should be explicit.
P1,P1-Q05,B misses outside-building-hours condition.,missing,missing,add_missing,Important conditional trigger is absent.
P1,P1-Q06,B misses attendance-greater-than-capacity condition.,missing,missing,add_missing,Important conditional trigger is absent.
P1,P1-Q07,B captures required fields with include edges.,yes,partial,keep_and_extend,Core fields are captured; field requirements can be represented more explicitly.
P1,P1-Q08,B captures System -> send -> Email Confirmation but not only-after room available and approval granted.,yes,partial,keep_and_extend,Action is present; preconditions are incomplete.
P2,P2-Q01,A: System -> assign -> IT Support Ticket.,yes,partial,keep_and_extend,"Supported, but support technician target is missing."
P2,P2-Q02,B: System -> route -> Security Team.,yes,partial,keep_and_extend,"Supported, but ticket as routed object is missing."
P2,P2-Q03,B: Employee -> mark -> IT Support Ticket.,yes,partial,edit_and_extend,Marks ticket but missing explicit account access/suspicious email/data exposure trigger nodes.
P2,P2-Q04,B misses Account Access Issue / Suspicious Email / Data Exposure trigger nodes.,missing,missing,add_missing,Key trigger conditions are absent as structured nodes.
P2,P2-Q05,B: System -> notify -> Employee.,yes,partial,keep_and_extend,"Notification is supported, but only-after review/transfer precondition is missing."
P2,P2-Q06,B: System -> store -> Security Review Record.,yes,complete,accept,Directly supported by text.
P2,P2-Q07,A/B: IT Support Ticket -> include -> Problem Description / Device Type / Screenshots.,yes,partial,keep_and_extend,Core fields are supported; optionality and input action details are partial.
P2,P2-Q08,B misses Security Team -> completes -> Security Review or transfers ticket back -> General Support.,missing,missing,add_missing,Key notification precondition events are absent.
P3,P3-Q01,A: System -> charge -> Saved Payment Method.,yes,partial,keep_and_extend,Charge is supported but immediately-after-submit timing is absent.
P3,P3-Q02,B: System -> charge -> Saved Payment Method.,yes,partial,keep_and_extend,Charge is supported but only-after availability precondition is absent.
P3,P3-Q03,B: System -> create -> Pending Order Record.,yes,complete,accept,Directly supported.
